code,neuromusc,cvd,respiratory,renal,gi,hemato_immu,metabolic,congeni_genetic,malignancy,neonatal,tech_dep,transplant,ccc_flag
00D70ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DJ0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DK4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DM0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DP4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DQ3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00F34ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00H003Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00H603Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00HU0YZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00HV01Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00HV03Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00HV0YZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00HV32Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00HV33Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00JE4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00KC3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00N20ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00N24ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00ND0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00NF0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00NL3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00NT4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00NW4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00NY4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00P003Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00P007Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00P030Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00P04YZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00P60MZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00PE00Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00PE03Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00PE0MZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00PE4YZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00PEXMZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00PU43Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00PU4YZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00PV0MZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00PVX0Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00Q14ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00Q60ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00QL3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00QR0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00QR3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00QS0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00QT3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00R14KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00R24JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00R64KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00RL0KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00RM0JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00RN4KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00RQ4JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00RR4JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00RS07Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00RS0JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00RT07Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00RT0KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00SG4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00SH3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00SH4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00SM0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00SM4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00SN4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00SP4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00SW3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00SY4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00U10JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00U137Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00U20KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00U63JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00U63KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00U647Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00UF0KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00UF37Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00UF3JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00UG0KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00UH37Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00UH4JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00UJ47Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00UL4KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00UM3JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00UN0JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00UN4KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00UP07Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00UP47Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00UQ47Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00UR37Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00US07Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00US0KZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00UT47Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00W0X0Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00W602Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00W60JZ,1,0,0,0,0,0,0,0,0,0,1,0,1
00W64MZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00W6X2Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00WE02Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00WU00Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00WU02Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00WU32Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00WU40Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00WU43Z,0,0,0,0,0,0,0,0,0,0,0,0,0
